GeneralAdvice+运动++,GeneralAdvice+治疗++	GeneralExplanation+问题++,GeneralExplanation+问题++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
B+Advice+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	GeneralExplanation+问题++,GeneralExplanation+运动++,GeneralExplanation+饮食++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
I+Explanation+问题+症状	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+时间	B+Advice+行为+时间	
I+Advice+行为+时间	I+Advice+行为+时间	
O	O	
B+Advice+治疗+用药量	B+Advice+行为+行为名	
I+Advice+治疗+用药量	I+Advice+行为+行为名	
O	O	
O	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+时间	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	Chitchat+++
O	B+Inform+治疗+药品	
O	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
O	I+Inform+治疗+药品	
O	I+Inform+治疗+药品	
O	I+Inform+治疗+药品	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	B+Inform+问题+血糖值	
I+Inform+问题+时间	B+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	B+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	B+Inform+问题+时间	
I+Inform+问题+血糖值	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
B+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
B+Inform+饮食+饮食名	O	
I+Inform+饮食+饮食名	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+行为+时间	
O	I+Inform+行为+时间	
O	I+Inform+行为+时间	
O	I+Inform+行为+时间	
O	I+Inform+行为+时间	
B+Inform+行为+行为名	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
O	O	
B+Inform+行为+行为名	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+症状	B+AskForSure+行为+行为名	
I+AskForSure+行为+效果	I+AskForSure+行为+行为名	
O	O	


AskFor+治疗+药品+?,AskFor+问题+持续时长+?	AskFor+治疗+药品+?,AskHow+++,AskFor+问题+持续时长+?
O	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+时间	O	
I+Advice+行为+时间	O	
I+Advice+行为+时间	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskFor+治疗+药品	O	
I+AskFor+治疗+药品	O	
I+AskFor+治疗+药品	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskFor+问题+时间	B+AskFor+问题+症状	
I+AskFor+问题+时间	I+AskFor+问题+症状	
I+AskFor+问题+时间	I+AskFor+问题+症状	
I+AskFor+问题+时间	I+AskFor+问题+症状	
O	I+AskFor+问题+症状	
O	I+AskFor+问题+症状	
B+AskFor+问题+血糖值	I+AskFor+问题+症状	
O	O	
O	O	
O	O	
O	O	
O	O	


none	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	O	
B+AskForSure+问题+血糖值	B+AskForSure+治疗+药品	
I+AskForSure+治疗+药品	I+AskForSure+治疗+药品	
I+AskForSure+治疗+药品	I+AskForSure+治疗+药品	
B+AskForSure+问题+时间	B+AskForSure+治疗+时间	
I+Inform+问题+时间	I+AskForSure+治疗+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskForSure+治疗+用药量	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	GeneralExplanation+问题++
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
B+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
I+Inform+问题+血糖值	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+治疗+药品	B+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
I+Inform+治疗+药品	I+Inform+治疗+药品	
O	B+Inform+治疗+效果	
O	O	
B+Inform+治疗+药品	O	
I+Inform+治疗+药品	O	
I+Inform+治疗+药品	O	
I+Inform+治疗+药品	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskHow+治疗+检查项	B+AskHow+治疗+检查项	
I+AskHow+治疗+检查项	I+AskHow+治疗+检查项	
B+AskHow+治疗+检查值	B+AskHow+治疗+检查值	
I+AskHow+治疗+检查值	I+AskHow+治疗+检查值	
I+AskHow+治疗+检查值	I+AskHow+治疗+检查值	
O	O	
O	O	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+时间	B+AskForSure+问题+时间	
I+AskForSure+问题+时间	I+AskForSure+问题+时间	
I+AskForSure+问题+时间	I+AskForSure+问题+时间	
B+AskForSure+问题+血糖值	B+AskForSure+问题+血糖值	
I+AskForSure+问题+血糖值	I+AskForSure+问题+血糖值	
I+AskForSure+问题+血糖值	I+AskForSure+问题+血糖值	
B+AskForSure+问题+血糖值	O	
I+AskForSure+问题+血糖值	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskWhy+++	AskWhy+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	


none	none
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+血糖值	B+AskForSure+治疗+检查值	
I+AskForSure+问题+血糖值	I+AskForSure+治疗+检查值	
I+AskForSure+问题+血糖值	I+AskForSure+治疗+检查值	
O	B+AskForSure+治疗+效果	
O	I+AskForSure+治疗+效果	
O	O	


	GeneralExplanation+饮食++,GeneralExplanation+运动++,GeneralExplanation+治疗++
B+Explanation+问题+疾病	O	
I+Advice+问题+疾病	O	
I+Advice+问题+疾病	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
I+AdviceNot+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


GeneralExplanation+问题++	GeneralExplanation+问题++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	GeneralAdvice+行为++,GeneralAdvice+饮食++,GeneralAdvice+运动++,GeneralAdvice+治疗++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
B+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	
I+Advice+行为+行为名	O	


none	none
O	O	
O	O	
B+Inform+治疗+药品	B+Inform+治疗+检查项	
I+Inform+治疗+药品	I+Inform+治疗+检查项	
I+Inform+治疗+药品	I+Inform+治疗+检查项	
O	O	
O	O	
O	B+Inform+治疗+检查值	
O	O	
B+Inform+治疗+检查项	B+Inform+治疗+检查项	
I+Inform+治疗+检查项	I+Inform+治疗+检查项	
B+Inform+治疗+检查值	B+Inform+治疗+检查值	
I+Inform+治疗+检查值	I+Inform+治疗+检查值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+疾病	B+AskForSure+问题+疾病	
I+AskForSure+问题+疾病	I+AskForSure+问题+疾病	
I+AskForSure+问题+疾病	I+AskForSure+问题+疾病	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+基本信息+体重	
O	O	
O	O	
O	O	


none	GeneralAdvice+治疗++
O	O	
O	O	
O	O	
O	O	
B+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
I+Advice+治疗+检查项	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
O	O	
B+Inform+行为+行为名	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+基本信息+体重	
I+Inform+问题+血糖值	I+Inform+基本信息+体重	
B+Inform+问题+血糖值	I+Inform+基本信息+体重	
I+Inform+问题+血糖值	I+Inform+基本信息+体重	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	


none	none
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	


none	none
O	O	
B+Inform+治疗+检查项	B+Inform+治疗+检查项	
I+Inform+治疗+检查项	I+Inform+治疗+检查项	
I+Inform+治疗+检查项	I+Inform+治疗+检查项	
O	I+Inform+治疗+检查项	
O	O	
O	B+Inform+治疗+检查值	
O	I+Inform+治疗+检查值	
O	I+Inform+治疗+检查值	
O	I+Inform+治疗+检查值	
B+Inform+治疗+检查值	I+Inform+治疗+检查值	
O	O	
B+Inform+治疗+检查项	B+Inform+治疗+检查项	
I+Inform+治疗+检查项	I+Inform+治疗+检查项	
B+Inform+治疗+检查值	O	
I+Inform+治疗+检查值	O	


none	none
B+Explanation+治疗+检查项	B+Inform+治疗+检查项	
I+Explanation+治疗+检查项	I+Inform+治疗+检查项	
B+Explanation+治疗+检查项	I+Inform+治疗+检查项	
I+Explanation+治疗+检查项	I+Inform+治疗+检查项	
O	B+Inform+治疗+检查值	
O	O	
O	O	
B+Explanation+问题+血糖值	B+Inform+治疗+检查值	
I+Explanation+问题+血糖值	I+Inform+治疗+检查值	
I+Explanation+问题+血糖值	I+Inform+治疗+检查值	
O	O	
B+Explanation+治疗+检查值	B+Inform+问题+症状	
I+Explanation+治疗+检查值	I+Inform+问题+症状	
O	O	
B+Explanation+治疗+检查值	B+Inform+问题+症状	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+疾病	B+AskForSure+问题+疾病	
I+AskForSure+问题+疾病	I+AskForSure+问题+疾病	
I+AskForSure+问题+疾病	I+AskForSure+问题+疾病	
O	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


GeneralExplanation+问题++	none
O	O	
O	O	
O	B+Explanation+问题+时间	
O	I+Explanation+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Explanation+问题+血糖值	
O	O	


none	none
O	O	
O	O	
B+Explanation+问题+血糖值	B+Explanation+问题+血糖值	
O	I+Explanation+问题+血糖值	
O	B+Explanation+问题+状态	
O	I+Explanation+问题+状态	
O	I+Explanation+问题+状态	
B+Explanation+问题+疾病	I+Explanation+问题+状态	
I+Explanation+问题+疾病	I+Explanation+问题+状态	
I+Explanation+问题+疾病	I+Explanation+问题+状态	
I+Explanation+问题+疾病	I+Explanation+问题+状态	
I+Explanation+问题+疾病	I+Explanation+问题+状态	


none	Chitchat+++
B+Explanation+问题+疾病	O	
I+Explanation+问题+疾病	O	
I+Explanation+问题+疾病	O	
O	O	
O	O	
O	O	
B+Explanation+治疗+效果	O	
I+Explanation+治疗+效果	O	
I+Explanation+治疗+效果	O	
I+Explanation+治疗+效果	O	
I+Explanation+治疗+效果	O	


	AskHow+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


	none
O	B+Inform+行为+时间	
O	I+Inform+行为+时间	
O	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
B+Inform+行为+行为名	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	


GeneralExplanation+饮食++	GeneralExplanation+问题++,GeneralExplanation+治疗++,GeneralExplanation+饮食++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


GeneralExplanation+问题++	GeneralExplanation+治疗++,GeneralExplanation+问题++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	AskWhy+++
O	O	
B+Inform+治疗+时间	B+Inform+饮食+时间	
I+Inform+治疗+时间	I+Inform+饮食+时间	
O	O	
O	O	
B+Inform+治疗+药品	B+Inform+饮食+饮食量	
I+Inform+治疗+药品	I+Inform+饮食+饮食量	
I+Inform+治疗+药品	I+Inform+饮食+饮食量	
I+Inform+治疗+药品	B+Inform+饮食+饮食名	
I+Inform+治疗+药品	I+Inform+饮食+饮食名	
I+Inform+治疗+药品	I+Inform+饮食+饮食名	
O	I+Inform+饮食+饮食名	
O	O	
O	B+Inform+饮食+饮食量	
O	I+Inform+饮食+饮食量	
O	B+Inform+饮食+饮食名	
O	I+Inform+饮食+饮食名	
O	O	
O	B+Inform+饮食+饮食名	
O	O	
O	O	
O	B+Inform+饮食+饮食量	
O	I+Inform+饮食+饮食量	
B+Inform+饮食+饮食名	B+Inform+饮食+饮食名	
I+Inform+治疗+药品	I+Inform+饮食+饮食名	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+Inform+饮食+成分	
O	I+Inform+饮食+成分	
O	I+Inform+饮食+成分	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


GeneralExplanation+问题++	GeneralExplanation+问题++,GeneralExplanation+基本信息++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


AskWhy+++	AskWhy+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	B+Inform+行为+时间	
O	I+Inform+行为+时间	
B+Inform+行为+行为名	B+Inform+行为+行为名	
I+Inform+行为+行为名	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
B+AskForSure+问题+血糖值	O	
I+AskForSure+问题+血糖值	O	
I+AskForSure+问题+血糖值	B+Inform+问题+血糖值	
O	O	


none	none
O	O	
O	O	
B+Inform+问题+时间	B+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
I+Inform+问题+时间	I+Inform+行为+时间	
O	I+Inform+行为+时间	
O	O	
O	O	
O	O	
O	O	
B+Inform+问题+时间	B+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
I+Inform+问题+时间	I+Inform+问题+时间	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
B+Inform+问题+时间	O	
I+Inform+问题+时间	O	
I+Inform+问题+时间	O	
O	O	
O	O	
B+Inform+问题+血糖值	B+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
I+Inform+问题+血糖值	I+Inform+问题+血糖值	
O	O	
O	B+Inform+行为+时间	
O	I+Inform+行为+时间	
O	B+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	
O	I+Inform+行为+行为名	


none	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskForSure+饮食+饮食名	
B+AskForSure+饮食+饮食名	I+AskForSure+饮食+饮食名	
O	I+AskForSure+饮食+饮食名	
O	I+AskForSure+饮食+饮食名	
O	O	
O	O	
O	O	
O	O	
O	O	
O	B+AskForSure+饮食+饮食名	
B+AskForSure+饮食+饮食名	I+AskForSure+饮食+饮食名	
I+AskForSure+饮食+饮食名	I+AskForSure+饮食+饮食名	
I+AskForSure+饮食+饮食名	I+AskForSure+饮食+饮食名	
O	O	
B+AskForSure+饮食+饮食名	B+AskForSure+饮食+饮食名	
I+AskForSure+饮食+饮食名	I+AskForSure+饮食+饮食名	
I+AskForSure+饮食+饮食名	O	
O	O	
O	O	


Chitchat+++	Chitchat+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	none
B+Advice+饮食+饮食名	B+Explanation+饮食+饮食名	
O	O	
B+Advice+饮食+成分	B+Explanation+饮食+成分	
I+Advice+饮食+成分	I+Explanation+饮食+成分	
B+Advice+饮食+成分	I+Explanation+饮食+成分	
I+Explanation+饮食+成份量	O	
I+Explanation+饮食+成份量	B+Explanation+饮食+成份量	
I+Explanation+饮食+成份量	I+Explanation+饮食+成份量	
O	O	
B+Advice+饮食+饮食量	B+Advice+饮食+饮食量	
O	O	
B+Advice+饮食+成分	B+Advice+饮食+成分	
I+Advice+饮食+饮食名	I+Advice+饮食+成分	
I+Advice+饮食+成分	I+Advice+饮食+成分	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Assure+++,Chitchat+++	Deny+++
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


none	GeneralExplanation+问题++
B+Explanation+治疗+药品	O	
I+Explanation+治疗+药品	O	
I+Explanation+治疗+药品	O	
B+Explanation+治疗+效果	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	


Chitchat+++	none
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
O	O	
